total_tokens,latency_seconds,model_name,timestamp
595,2.6399290561676025,lite_llm,2025-07-30T13:37:29.887252
761,1.883066177368164,lite_llm,2025-07-30T13:37:31.778182
1077,1.7371671199798584,lite_llm,2025-07-30T13:37:33.526642
1195,1.4631717205047607,lite_llm,2025-07-30T13:37:35.001072
1296,1.661590576171875,lite_llm,2025-07-30T13:37:36.674016
1375,2.1456339359283447,lite_llm,2025-07-30T13:37:38.829786
1514,2.4045660495758057,lite_llm,2025-07-30T13:37:41.243278
4248,1.6180129051208496,lite_llm,2025-07-30T13:37:42.875408
5946,2.5081851482391357,lite_llm,2025-07-30T13:37:45.397054
6038,2.0264227390289307,lite_llm,2025-07-30T13:37:47.433235
6185,1.824899673461914,lite_llm,2025-07-30T13:37:49.267773
28026,3.166999101638794,lite_llm,2025-07-30T13:37:52.485402
28604,3.780196189880371,lite_llm,2025-07-30T13:37:56.274630
31567,3.469295024871826,lite_llm,2025-07-30T13:37:59.754755
32591,3.4311442375183105,lite_llm,2025-07-30T13:38:03.195183
32712,5.500364065170288,lite_llm,2025-07-30T13:38:08.706195
37215,26.80463194847107,lite_llm,2025-07-30T13:38:35.530126
4078,16.267627954483032,lite_llm,2025-07-30T15:38:02.130940
2879,17.503432989120483,lite_llm,2025-07-30T15:38:19.649811
3719,13.319420337677002,lite_llm,2025-07-30T15:38:32.984181
1420,12.489935159683228,lite_llm,2025-07-30T15:38:45.490925
4162,16.40683603286743,lite_llm,2025-07-30T15:39:01.925007
1734,13.321877002716064,lite_llm,2025-07-30T15:39:15.258414
5480,18.70627188682556,lite_llm,2025-07-30T15:39:33.973124
2208,13.931557178497314,lite_llm,2025-07-30T15:39:47.916483
4576,16.449338912963867,lite_llm,2025-07-30T15:40:04.382546
3163,15.706904172897339,lite_llm,2025-07-30T15:40:20.095590
4776,18.31800389289856,lite_llm,2025-07-30T15:40:38.420454
4131,15.135585069656372,lite_llm,2025-07-30T15:40:53.566754
3989,15.896918058395386,lite_llm,2025-07-30T15:41:09.481638
706,8.939976215362549,lite_llm,2025-07-30T15:41:18.454919
4637,14.217058658599854,lite_llm,2025-07-30T15:41:32.681046
1301,12.374632120132446,lite_llm,2025-07-30T15:41:45.062487
594,6.244117975234985,lite_llm,2025-07-30T15:41:51.319736
627,7.079616069793701,lite_llm,2025-07-30T15:41:58.405928
